id	ER-ERR1084806_PE	ER-ERR1084805_PE	ER-ERR1084765_PE	ER-ERR1084764_PE	TN-ERR1084799_PE	TN-ERR1084798_PE	TN-ERR1084768_PE	TN-ERR1084766_PE
Group	ER	ER	ER	ER	TN	TN	TN	TN
ENSG00000089775	0	0	0	0	1	1	0	0
ENSG00000090382	1.16	1	0	0	0	0	0.99	0
ENSG00000091651	48.05	32	7.35	18.59	76	19.22	5.06	0
ENSG00000091844	0	0	0	0	0	0	0	3
ENSG00000092330	0	0	0	0	1	0	0	0
ENSG00000095380	0	0	0	0	0	0	1	0
ENSG00000095485	3	1	1	1	4	4	2	29
ENSG00000095787	1.06	0	1.78	0.99	1.96	5.92	1.04	0
ENSG00000099338	0	0	0	1	0	1	0	0
ENSG00000099715	0	0	0	0	0	1.01	2	0
ENSG00000099797	0	0	0	0	1	0	0	0
ENSG00000099940	1	0	0	0	0	0	0	0
ENSG00000100003	0	2	1	1	1	0	4	2
ENSG00000100058	0	0	0	0	0	1	0	0
ENSG00000100077	0	0	0	0	0	0	0	1
ENSG00000100099	0	0	1	0	0	0	0	0
ENSG00000100100	0	0	0	0	1	0	0	0
ENSG00000100106	0	0	0	0	0	1.04	0	0
ENSG00000100181	0	0	0	0	0	0	1	0
ENSG00000100206	0	0	0	0	0	0	0	0.68
ENSG00000100209	0	0	0	0	1	1	0	0
ENSG00000100221	0	0	0	1	0	0	0	0
ENSG00000100228	1	0	4	2	0	0	0	0
ENSG00000100243	1.42	0	0	0	0	0	0	1.15
ENSG00000100368	0	21	7	2	3	19	37	1
ENSG00000100376	0	0	0	0	1	0	0	0
ENSG00000100410	16	37	16	26	30	46	19	23
ENSG00000100418	2	0	0	0	0	0	0	1
ENSG00000100554	0.77	0	0	0	0	0	0	0
ENSG00000100625	1.22	0	0	0	0	1.99	1.33	0
ENSG00000100626	0	0	0	3	0	0	0	0
ENSG00000100644	1	0	0	0	0	0	0	0
ENSG00000100711	0	0	0	0	1	0	0	0
ENSG00000100814	2.47	0	0	0	1	0	0	0
ENSG00000100815	0.84	1.02	0	1	0	4.89	0	2
ENSG00000100852	0	4	0	0	2	0	0	6
ENSG00000100865	0	0	1	0	0	0	0	0
ENSG00000100902	0	1	0	0	0	0	0	0
ENSG00000100934	1	0	1	0	0	1.59	0	0
ENSG00000101181	0	0	0	0	0	0	1	0
ENSG00000101350	0	0	0	0	0	0	0	2
ENSG00000101361	9	0	4	5	4	5	9	46
ENSG00000101425	0	0	0	1	37	180	593	0
ENSG00000101448	0	1	0	0	0	0	0	0
ENSG00000101546	1	1	0	0	0	0.45	0	0
ENSG00000101842	0	1.23	0	0	0	0	1	1
ENSG00000101882	0	0	0	0	0	0	3.16	1
ENSG00000101892	1	0	0	0	0	0	0	0
ENSG00000101966	0	1.02	1	1.03	3.01	1.05	3.21	0
ENSG00000102054	16.69	1	0	0	0	2	0	0
ENSG00000102158	1	0	0	0	0	0	0	0
ENSG00000102466	0	0	0	0	6	10	87	9
ENSG00000102595	0	0	0	0	1	0	0	0
ENSG00000102753	0	0	0	0	2	3	1	0
ENSG00000102837	0	2	1	1	9	1009	1255	3
ENSG00000102910	0	0	0	1	0	0	0	0
ENSG00000103197	0	1	0	0	0	0	1	0
ENSG00000103199	0	0	0	0	0	1	1	0
ENSG00000103245	0	0	0	1	0	0	0	0
ENSG00000103313	1	0	0	0	0	0	0	0
ENSG00000103495	1	0	0	0	0	0	0	0
ENSG00000103544	0	0	0	0	1	0	0	0
ENSG00000103546	0	9	0	0	28	114	183	1
ENSG00000103855	0	0	0	0	0	0	0	1.09
ENSG00000103942	0	0	1	0	0	0	0	0
ENSG00000103994	1	0	0	0	0	0	0	0
ENSG00000104164	68.83	16.19	11.49	15.4	25.28	38.04	39.55	14.67
ENSG00000104177	0	0	0	0	1	1	0	0
ENSG00000104205	0	0	0	0	0	0	0.99	0
ENSG00000104331	0	0	0	0	0	0	0	1
ENSG00000104368	0	0	0	0	0	0	0	1.34
ENSG00000104643	0	0	0	0	0	0	1	0
ENSG00000104671	0	0	0	0	0	0	0	1
ENSG00000104848	0	0	0	0	0	1	0	0
ENSG00000104881	0.95	0	0	0	0	0	0	0
ENSG00000104894	7	351	2	1	123	455	29	283.06
ENSG00000104904	0	1	2.72	1	0	0	0	0
ENSG00000105122	40	24	3	2	9	16	3	1
ENSG00000105136	0	0	0	0	1	0	0	0
ENSG00000105193	3358	2431.99	1030	1397	5453.99	7791.3	2905.91	2799.56
ENSG00000105197	0	0	0	2	0	0	0	0
ENSG00000105220	1	0	0	0	0.24	0	0	1.27
ENSG00000105278	1	141	0	0	40	1	0	6
ENSG00000105323	2.29	0	0	0	0	0	0	3.95
ENSG00000105372	0	0	0	0	0	0	0	1
ENSG00000105379	0	0	0	0	0	0	0	1.99
ENSG00000105392	1.75	1	0	0	1.02	0	1.02	0
ENSG00000105409	0	0	0	0	0	0	1	0
ENSG00000105443	0	0	0	0	0	1	1	0
ENSG00000105519	0	1	0	0	0	0	0	0
ENSG00000105583	0	0	0	0	0	0	0	1
ENSG00000105641	1	0	0	0	0	1	0	0
ENSG00000105650	1.08	3	2.02	5	0	0	0	0
ENSG00000105696	5	2	0	1	3	3	55	139
ENSG00000105723	0	0	1	0	0	1	1	0
ENSG00000105852	104	241	0	0	3	44	40	4
ENSG00000105889	4	0	1	1	13	43	5	308.85
ENSG00000105996	0	1	0	0	0	19	154.22	92.49
ENSG00000105997	0	9	0	0	0	36.98	1129.66	160.41
ENSG00000106004	0	12	0	0	0	76	876.8	524.78
ENSG00000106006	0	12	0	0	2	31	400.68	66
ENSG00000106031	0	4	0	0	11	5	20	324
ENSG00000106080	0	0	0	0	0	0	2.01	3
ENSG00000106144	0	0	0	0	0	0	0	1
ENSG00000106258	0	1	2	1	0	1	1	0
ENSG00000106261	0	0	0	0	0	1	0	0
ENSG00000106336	0	0	0	0	0	0	1	0
ENSG00000106344	1	0	0	0	0	0	0	0
ENSG00000106384	0	0	0	0	0	0	0	1.17
ENSG00000106460	0	0	0	0	0.84	0	0	0
ENSG00000106511	0	0	0	0	1	0	35	141
ENSG00000106560	0	0	0	0	0	0	2	0
ENSG00000106588	0	7.3	0	0	0	1	0	1
ENSG00000106771	0	0	0	0	1	0	0	0
ENSG00000107317	811	31	1	1	39	2	1	1
ENSG00000107625	6	18	9	8	13	12	10	39
ENSG00000107736	0	0	0	0	0	0	1	0
ENSG00000107796	1	7	0	1	118.99	3	0	0
ENSG00000107937	0.38	1	0	0	0	0	0	0
ENSG00000108264	1	0	1	0	0	0	0	1
ENSG00000108309	0	0	0.99	0	0	0	0	0
ENSG00000108423	0	0	0	0	0	0	0	1
ENSG00000108439	0	0	0	0	0	0	0	1
ENSG00000108448	0	1	0	0	0	0	0	0
ENSG00000108474	1.19	0	1.08	0	0	0	2.21	0
ENSG00000108511	3467.4	5	0	0	312.47	25.68	1	173.84
ENSG00000108576	0	0	0	0	0	0	1	0
ENSG00000108587	0	1	1	0	0	0	4.01	0
ENSG00000108651	114	115	100	79	163	192	129	324
ENSG00000108691	0	35	1	0	1	14	7	4171
ENSG00000108788	0	0	0	0	1	0	1.01	0
ENSG00000108861	0	0	0	0	0	0	1	0
ENSG00000108963	0	0	0	0	0	0	1.96	1
ENSG00000109016	2	0	0	0	0	0	0	0
ENSG00000109083	0	0	0	0	0	0	0	1
ENSG00000109118	0	0	0	1	0	0	0.98	0
ENSG00000109133	0	0	1	0	0	0	0	0
ENSG00000109321	13518.37	892.79	223.39	66	233.42	22.72	34	0.01
ENSG00000109971	0	0	0	0	0	0	0	2
ENSG00000110090	0	1	1	1	0	0	0	0
ENSG00000110367	0	0	1	1	0	0	0	0
ENSG00000110628	1	0	0	0	0	0	0	0
ENSG00000110675	0	0	0	1	0	0	0	0
ENSG00000110693	1	0	0	0	0	0	0	0
ENSG00000110852	0	1	0	0	0	6	3	369
ENSG00000110911	1	0	0	0	0	0	0	0
ENSG00000111218	0	0	0	0	0	0	0	1
ENSG00000111300	2	0	0	0	1	0	1	0
ENSG00000111321	1	0	0	0	0	1.51	0	0
ENSG00000111432	0	0	0	0	0	120	0	191
ENSG00000111490	1	0	1	0	1	0	0	0
ENSG00000111713	1	0	0	0	0	3	13	5
ENSG00000111816	3.2	0	1	0	0	2	0	2.99
ENSG00000112078	1	1	0	0	0	0	0	0
ENSG00000112079	0	1	2	0	4	3	1	0
ENSG00000112096	23	8.42	6.77	6.3	20.59	24.21	28.66	31.55
ENSG00000112164	0	35	0	1	0	0	252	37
ENSG00000112246	0	18	0	0	1	446	4	98
ENSG00000112299	4	0	0	0	19	1	0	2
ENSG00000112333	2	0	0	1	4	9	1	51
ENSG00000112343	0	0	0	0	1	0	0	0
ENSG00000112701	0	0	0	0	0	0	1	0
ENSG00000112992	10.34	1.91	0	0	0	2	0	2.77
ENSG00000113328	3	3	3	6	2	7	9	45
ENSG00000113494	8	23	11	15	23	20	0	0
ENSG00000113569	1	0	0	0	0	0	0	1
ENSG00000113712	73.03	170.61	161	160.99	318.34	213.43	86.02	327.93
ENSG00000113838	0	0	0	1	0	0	0	0
ENSG00000114125	1	0	0	0	0	0	1	0
ENSG00000114126	0	0	0	1	0	0	0	0
ENSG00000114127	0	1	0	0	0	0	1	1
ENSG00000114302	0	0	1	0	0	0	0	0
ENSG00000114353	3	26.2	7	10	13	17	0	71
ENSG00000114573	0	1	0	0.05	0	0	1	0
ENSG00000114735	0	1	0	0	0	0	0	0
ENSG00000114948	2	0	0	0	0	5	0	482
ENSG00000114982	0	0	0	0	0	1	0	0
ENSG00000114999	0	1	0	0	0	0	0	0
ENSG00000115232	0	10	2	0	1	15	12	229
ENSG00000115239	2	0	0	0	0	1	0	2.05
ENSG00000115421	0	0	0	0	0	0	1	0
ENSG00000115423	1	0	2	2	0	0	0	0
ENSG00000115524	0	0	0	0	1	0	0	0
ENSG00000115602	0	0	0	0	1	0	1	0
ENSG00000115604	0	0	0	0	0	6	10	103
ENSG00000115641	0	0.96	0	0	0	0	1	0
ENSG00000115756	3.95	0	0	1	2.18	2	2.34	1
ENSG00000115762	0	0	0	1	0	0	1	0
ENSG00000115935	31	51	23	13	12	480	1	1681
ENSG00000115947	113.59	8.52	11.8	9.14	15.98	22.22	12.91	7.37
ENSG00000116035	0	0	5	7	0	0	3	0
ENSG00000116039	0	0	1	2	0	0	1	0
ENSG00000116062	0	0	1	0	0	0	0	0
ENSG00000116095	0	0	0	0	0	1	0	0
ENSG00000116132	2	0	1	0	0	2	9	9120.13
ENSG00000116138	0	0	0	1	0	0	0	0
ENSG00000116198	1	0	0	0	0	0	0	0
ENSG00000116288	3.57	2.98	0	0	0	0	0	0
ENSG00000116299	0.99	0	0	1	1.7	0	0	0
ENSG00000116337	166.98	267.96	516.68	382	114	392	1218.32	241.45
ENSG00000116497	0	0	0	0	0	0	1	0
ENSG00000116560	0	1.98	0	0	1	0	0	2
ENSG00000117036	1	3	2	3	10.48	2.28	10.36	45
ENSG00000117245	201	38	6	2	20	7	7	57
ENSG00000117461	0	0	0	0	0	0	2	0
ENSG00000117505	0	0	1	0	0	0	1	0
ENSG00000117507	0	0	0	0	7	132	10	0
ENSG00000117620	0	0	1	0	0	0	0	0
ENSG00000117834	0	1.11	0	0	0	2.58	1.42	0
ENSG00000117899	0	0	1	0	0	0	0	0
ENSG00000118217	0	0	0	0	0	0	0	1
ENSG00000118473	0	0	3	0	220	86	2	175
ENSG00000118513	0	0	0	0	0	0	1	0
ENSG00000118620	0	0	0	0	0	0	0	1
ENSG00000118785	0	1	0	0	129	0	5	1
ENSG00000118849	4	216	6	3	808	388	3158	98
ENSG00000119318	0	0	0	1	0	0	0	0
ENSG00000119402	0	0	1	0	0	0	0	0
ENSG00000119403	0	0	0	0	0	0	1	0
ENSG00000119535	0	0	0	0	0	0	1	0
ENSG00000119661	1	0	0	0	0	0	0	0
ENSG00000119705	0	2.04	0	0	0	0.97	0	0
ENSG00000119711	1.06	2.22	0	0	0	0	5.58	1
ENSG00000119729	0	0	0	0	0	0	0	2
ENSG00000119820	0	0	0	0	2.44	0	2	0
ENSG00000119865	1	1	0	0	0	0	12	1577
ENSG00000119900	328	351.13	347	438	3757.32	603	7296	1025
ENSG00000120075	3065.95	6.82	0	0	101.99	9.5	0	125.2
ENSG00000120093	7.07	0	0	0	7.49	1.32	0	22.16
ENSG00000120253	0	0	0	0	0	1	2	0
ENSG00000120314	0	1	0	0	1	0	0	0
ENSG00000120334	0	0	0	0	0	0	1	0
ENSG00000120669	11	27.17	1.4	8	4.71	20.88	44.09	28.3
ENSG00000120709	0	0	0	0	0	0	1	0
ENSG00000120868	0	0	0	0	2	0	0	0
ENSG00000121406	0	0	0	0	1	0	0	1.03
ENSG00000121570	0	0.95	0	0	1	0	0	0
ENSG00000121716	0	0	0	0	0	0	0	1
ENSG00000121742	0	0	0	0	3	39	18	0
ENSG00000121848	0	1.4	0	0	5	3.01	1	0.91
ENSG00000121957	0	1	0	0	0	0	0	0
ENSG00000122194	0	0	0	0	0	0.72	0	0
ENSG00000122203	21	25	76	72	43	78	58	53
ENSG00000122417	0	0	0	0	0	1	2	1
ENSG00000122484	14.96	1.27	0	1.16	12.22	15.16	11.54	3.29
ENSG00000122592	0	0.61	0	0	1.07	329.73	810.2	187.24
ENSG00000122692	0	0	0	0	1	0	0	0
ENSG00000122696	1	0	0	0	0	0	0	0
ENSG00000122705	0	1	0	0	0	0	0	0
ENSG00000122741	0	0	0	0	0	0	0	1
ENSG00000123130	0	0	0	0	0	1	0	0
ENSG00000123154	0	0	0	0	0	0	1	0
ENSG00000123178	0	0	1	0	0	0	0	0
ENSG00000123179	1	0	0	0	0	2.76	0	1.01
ENSG00000123219	0	0	0	0	0	1	0	0
ENSG00000123352	2.39	0	0	0	0	0	0	0
ENSG00000123358	0	1	0	0	0	0	0	0
ENSG00000123416	1462.46	2348.44	1881.51	2264.47	1445.32	1804.5	938.8	3099.83
ENSG00000123576	0	0	0	0	0	3	0	46
ENSG00000123600	1	0	0	0	0	0	0	0
ENSG00000123610	0	0	0	0	8	7	1	327
ENSG00000123636	0.98	0.65	0	0	0	0	0.46	0
ENSG00000123700	0	0	0	0	33	34	1	1
ENSG00000123843	40	1	7	7	3	6	4	0
ENSG00000124019	0	0	0	0	1	4	31	47
ENSG00000124102	0	29	0	0	4	4	1246	21
ENSG00000124120	0	1	0	0	0	0	0	0
ENSG00000124217	0	0	0	0	0	0	1	0
ENSG00000124228	0	0	0	0	0	0.98	0	0
ENSG00000124260	448	0	0	0	1	2	2	1586.01
ENSG00000124429	192	124	3	3	1	13	74	1
ENSG00000124532	0	1	0	0	0	1	0	0
ENSG00000124574	9.98	0	0	0	1	0	1	0
ENSG00000124608	0	1	0	0	0	0	0	1
ENSG00000124678	0	0	0	0	1	0	0	0
ENSG00000124766	9	18	12.04	12	38.99	123.31	17	170.84
ENSG00000124783	0	0	0	0	0	0	1	0
ENSG00000124882	563	324	1	1	101	1	2	10
ENSG00000125166	2	3	5	2	3	0	3	4
ENSG00000125354	0	0	0	1	0	0	0	0
ENSG00000125363	0	0	2	1	1	0	0	1
ENSG00000125462	1	0	0	1	0	1	1	0
ENSG00000125611	0	0	0	2	0	0	0	0
ENSG00000125730	0	0	0	1	0	0	0	0
ENSG00000125741	0	0	0	1	0	0	0	0
ENSG00000125845	10	17	2	0	2	34	173	102
ENSG00000126070	6.1	0	1.01	0	2	0	1.2	2
ENSG00000126550	0	0	0	0	1	0	1	0
ENSG00000126768	0	0	0	0	0	0	0	1
ENSG00000126785	0	0	0	0	6	16	0	114
ENSG00000126934	0	0	0	0	0	0	1	0
ENSG00000126952	2	0	5	7	0	0	0	10.7
ENSG00000126953	1	2	2	1	5	4	2	27
ENSG00000127054	0	0	1	0	0	0	0	0
ENSG00000127507	0	0	0	0	0	0	1	0
ENSG00000127526	1	2	0	0	2	0	0	1
ENSG00000127603	0	1	0	0	0	0	0	0
ENSG00000128710	0	1	0	0	0	0.94	0	61.56
ENSG00000128713	0	0	0	0	4	28.06	3	463.44
ENSG00000128714	0	1	0	0	0	431	23	1452
ENSG00000128805	0	0.85	0	0	5	2	3.98	0
ENSG00000128989	0	1.17	0	0	0	0	0	0
ENSG00000129128	0	0	0	0	1	0	0	0
ENSG00000129250	0	0	0	0	2	0	0	0
ENSG00000129255	0	0	0	0	0	2	0	1
ENSG00000129353	0	0	1	0	0	0	0	0
ENSG00000129465	393	54	4	7	3	98	15	1
ENSG00000129480	0	0	0	0	0	0	0	1
ENSG00000129514	6	1	4	6	1	1	0	0
ENSG00000129595	0	0	0	0	0	0	1	0
ENSG00000129990	0.59	0	0	0	1	0	0	1
ENSG00000130052	1	0	0	0	0	0	0	2
ENSG00000130158	0	0	0	0	0	1	0	0
ENSG00000130164	0	0	0	0.97	0	0	0	0
ENSG00000130234	0	12	1	0	117	89	60	0
ENSG00000130244	0	0	0	0	0	1	1	0
ENSG00000130254	0	0	0	0	0	1	0	1
ENSG00000130332	0	0	0	0	0	0	1	0
ENSG00000130338	1	0	0	0	0	0	0	0
ENSG00000130363	0	0	1	0	0	0	0	0
ENSG00000130413	0	1	0	0	0	1	0	0
ENSG00000130529	0	0	1	0	0	1	1	0
ENSG00000130544	1	0	0	0	0	0	0	0
ENSG00000130561	0	0	0	0	1	0	0	0
ENSG00000130592	0	10	0	0	41	2	9	1
ENSG00000130702	0	0	0	0	0	0	0	1
ENSG00000130703	0	0	0	0	0	0	0	2
ENSG00000130713	0	0	0	0	0	0	0	2
ENSG00000130812	11.47	18.33	6.01	0	3.52	8.03	18.09	0
ENSG00000130813	423.53	410.67	79.99	76	67.48	141.97	254.91	112
ENSG00000130921	1	1	0	0	1	0	0	1
ENSG00000130939	0	1	1	0	0	0	0	0
ENSG00000130940	6	18	18	23	10	16	7	0
ENSG00000130988	5	2	3	3	149	8	158	122
ENSG00000131080	208	0	2	1	0	25	13	61
ENSG00000131174	0	1	0	0	0	0	1	0
ENSG00000131462	0	2	0	2	0	1	0	2
ENSG00000131626	1	0	0	0	0	0	0	0
ENSG00000131795	0	0	1	0	0	0	0	0
ENSG00000132153	5.86	0	0	0	0	0	0	0
ENSG00000132274	1.48	0	0.24	1.03	0	0	0	0
ENSG00000132297	1	0	0	0	0	0	0	1
ENSG00000132326	0	0	0	0	1	2.94	1.05	0
ENSG00000132561	1	0	0	0	0	0	0	1
ENSG00000132570	1	0	0	0	1	0	0	0
ENSG00000132680	0	0	0	1	0	0	0	0
ENSG00000132793	0	0	0	0	0	1	0	0
ENSG00000132874	2.76	1	0	0	1.86	0	3.07	0
ENSG00000132912	0	0	0	0	0	1	0	0
ENSG00000132915	0	0	1	0	1	0.88	3.03	2
ENSG00000132975	0	0	0	1	1	448	796	0
ENSG00000133114	0	0	2	0	0	0	1	0
ENSG00000133131	14.17	6.82	3.13	1.65	3.06	4.69	11.92	10.01
ENSG00000133138	44.88	17.87	11.15	12.64	18.39	39.72	25.86	10.38
ENSG00000133256	0	0	0	0	0	0	0	1
ENSG00000133460	0	0	0	0	0	1	0	0
ENSG00000133466	0	0	0	0	0	0	1	0
ENSG00000133477	0	0	0	0	0	0	0	1
ENSG00000133488	0	0	0	0	0	0	0	1.18
ENSG00000133703	0	0	0	0	0	0	0	1
ENSG00000133805	5	5	24	36	9	10	10	1
ENSG00000133812	2	0	0	0	0	0	0	0
ENSG00000133816	27.31	262.26	133.63	141.09	480.56	250.63	109.38	92.6
ENSG00000133884	0	0	0	0	0	0	1	0
ENSG00000133961	0	0	0	0	0	1	0	0
ENSG00000133980	0	1	1	1	1	8	945	0
