id	SRR925687	SRR925688	SRR925720	SRR925721	SRR934634	SRR925697	SRR925703	SRR925714	SRR925716	SRR925726	SRR934636
ENSG00000169594.11	31.2	29.01	35.09	36.02	35.04	0.02	0.11	2.75	0	0.02	0
ENSG00000160712.11	10.79	11.18	8.15	9.7	12.08	1.05	4.57	0.62	0.98	3.35	1.03
ENSG00000090776.5	65.2	44.6	55.14	53.91	48.97	14.7	1.9	3.06	7.11	3.2	4.89
ENSG00000077238.12	40.53	30.55	41.85	39.39	42.15	10.14	11.67	4.29	19.13	18.22	10.03
ENSG00000164976.8	8.6	7.82	7.25	7.95	10.18	0.54	1.16	1.57	1.97	2.08	2.23
ENSG00000128016.5	54.69	67.16	54.43	78.89	61.89	13.52	5.31	4.73	26.1	10.54	17.59
ENSG00000100300.16	673.49	668.17	537.1	784.61	686.92	203.12	109.19	43.37	287.57	385.06	193.19
ENSG00000175416.11	319.95	377.72	404.34	334.02	433.48	86.32	49.88	50.11	146.14	235.6	127.56
ENSG00000267855.4	167.96	137.58	142.89	134.79	153.66	107.55	60.5	68.78	59.24	85.73	87.67
ENSG00000126822.14	21.54	23.79	23.73	26.43	34.25	1.38	3.44	4.09	6.93	12.78	0.34
ENSG00000154102.9	82	52.28	67.92	78.26	81.48	0.86	8.91	4.14	0.33	11.64	1.11
ENSG00000166979.11	15.65	15.62	22.94	14.24	18.97	0.46	2.09	3.87	5.11	7.88	0
ENSG00000113328.17	108.15	93.61	91.4	68.69	89.46	27.52	61.39	24.58	26.33	27.2	16.51
ENSG00000198807.11	10.31	9.16	7.22	9.76	7.29	4.5	0.25	0.09	4.23	1.62	2.13
ENSG00000070882.11	17.7	14.54	19.35	16.38	20.16	5.68	4.82	6.22	8.59	13.39	6.39
ENSG00000065621.13	43.91	27.56	28.32	38.17	28.39	0.05	18.42	10.3	0.85	1.67	2.56
ENSG00000174292.11	11.47	14.09	8.22	9.48	10.38	0.94	3.35	2.05	0.11	3.83	3.73
ENSG00000117676.12	66.72	56.84	37.66	48.35	55.38	6.14	31.06	12.07	5.98	17.45	7.78
ENSG00000173156.5	240.18	321.42	199.5	257.88	233.53	0	6.93	6.59	0	20.43	0.11
ENSG00000112763.14	4.73	7.63	9.56	11.46	7.79	21.36	16.16	28.07	19.47	18.64	19.74
ENSG00000112473.15	35.6	43.45	46.51	70.79	68.17	103.72	122.54	155.62	163.94	103.06	138.92
ENSG00000091409.13	90.24	96.71	146.13	104.34	127.05	19.61	33.56	4.55	6.6	16.24	11.59
ENSG00000144741.16	14.87	18.26	18.33	15.91	18.28	10.55	10.75	10.8	12.29	13.8	9.04
ENSG00000142675.16	29.92	30.41	26.62	32.49	19	0.36	1.15	1.26	0.12	0.43	3.06
ENSG00000132849.17	5.39	6.8	7.98	5.62	8.44	2.16	3.89	2.39	1.1	0.48	2.51
ENSG00000157483.7	67.19	83.41	59.12	61.91	73.13	44.77	41.69	8.62	25.27	16.22	26.13
ENSG00000167642.11	479.45	422.49	355.87	407.04	297.95	0.76	3.76	3.21	2.3	291.23	1.3
ENSG00000206560.9	17.55	13.05	22.52	19.76	8.61	29.19	38.98	44.88	31.8	34.84	34.35
ENSG00000189091.11	128.02	91.32	150.24	122.23	159.95	261.49	293.74	229.72	177.72	263.13	278.38
ENSG00000158292.6	12.08	9.67	14.52	15.21	17.96	2.62	4.61	1.66	0.93	1.43	6.99
ENSG00000204576.10	5.51	4.54	6.84	9.33	5.75	21.13	19.64	26.05	17.85	21.92	33.06
ENSG00000131746.11	373.26	333.98	474.49	303.75	465.48	0.1	0.1	0.23	0.09	0.92	0.05
ENSG00000176658.15	23.5	12.68	24.17	23.54	26.11	0.06	0.85	0.13	0.48	15.39	0.37
ENSG00000197375.11	18.2	29.27	21.88	26.77	18.88	8.37	3.87	2.97	5.71	11.53	6.36
ENSG00000203724.9	16.95	13.77	12.91	14.16	15.37	10.84	6.04	6.84	9.88	9.71	5.25
ENSG00000065357.18	109.4	174.66	113.59	116.14	129.63	4.02	9.71	5.78	12.91	20.9	14.59
ENSG00000117385.14	18.58	8.55	17.26	33.71	27.09	79.88	67.98	52.7	56.93	43.09	82.1
ENSG00000118640.9	150.04	230.78	163.72	113.86	175.32	0.18	3.85	29.51	0.12	111.81	0.39
ENSG00000064547.12	25.25	22.98	20.12	22.96	27.09	13.88	8.33	6.61	0.61	1.44	14.31
ENSG00000161671.15	52.02	64.05	52.23	64.3	70.24	32.28	9.81	23.15	5.6	0.05	39.13
ENSG00000184363.8	120.31	93.07	115.69	100.84	166.05	0.06	12.98	8.46	29.78	19.43	2.91
ENSG00000144711.12	7.52	5.1	7.28	5.82	4.77	13.19	8.8	15.64	14.15	10.84	13.57
ENSG00000166441.11	1527.99	2162.36	2545.85	2034.35	2065.31	794.23	836.8	578.68	992.07	1409.43	872.99
ENSG00000060656.18	45.42	65.56	48.27	36.05	71.38	0.23	31.48	0.4	4.44	5.47	2.29
ENSG00000172262.10	14.08	9.02	13.59	14.05	7.59	26	27.59	24.67	23.44	25.56	15.04
ENSG00000100422.12	11.42	4.91	9.41	16	15.16	22.5	28.6	40.98	34.67	28.07	24.01
ENSG00000183943.5	23.24	18.05	21.47	16.25	13.25	5.38	13.64	3.23	1.5	3.16	5.59
ENSG00000076826.8	9.26	11.65	6.87	6.91	10.06	0.24	0.44	0.12	0.89	0.05	0.93
ENSG00000076604.13	120.39	153.46	82.98	137.56	126.13	38.96	18.17	45.05	37.49	68.59	58.01
ENSG00000124733.3	44.83	34.75	50.21	71.86	64.14	100.59	92.92	72.81	121.76	109.83	113.64
ENSG00000108219.13	56.42	64.52	42.26	80.14	74.35	17.85	4.77	11.38	17.53	31.99	23.22
ENSG00000056972.17	16.99	31.09	28.68	34.51	30.14	4.23	19.5	7.75	6.89	9.42	2
ENSG00000073350.12	23.06	42.25	27.86	39.65	29.65	1.57	4.35	1.67	0.75	7.25	4.4
ENSG00000184900.14	71.85	59.99	63.72	91.74	48.21	139.75	114.8	88.54	116.41	150.07	139.59
ENSG00000179094.12	41.27	52.85	47.14	56.52	79.24	10.94	3.28	3.04	15.14	8.95	23.6
ENSG00000102890.13	28.47	41.3	30.01	51.93	38.95	3.4	0.35	1.26	1.06	2.65	3.48
ENSG00000166025.16	31.45	42.47	35.58	28.72	22.06	14.18	1.08	10.93	21.18	7.71	2.26
ENSG00000144635.7	18.36	10.69	17.24	21.09	17.92	26.31	28.81	24.46	28.37	27.18	35.82
ENSG00000128604.17	13.05	12.98	13.52	6.87	16.44	0.71	0.26	0.98	0.18	3.46	0.24
ENSG00000120549.14	14	13.76	14.17	11.18	10.47	5.96	3.3	5.53	9.69	1.92	8.01
ENSG00000021762.18	34.64	56.92	42.36	58.5	36.31	5.92	4.25	4.07	4.77	6.68	12.59
ENSG00000123080.9	9.13	7.14	7.65	6.4	8.71	52.53	38	21.2	45.66	49.08	32.9
ENSG00000187838.15	104.78	101.95	65.14	114.54	92.19	60.17	19.98	12.03	63	42.03	34.11
ENSG00000219481.9	13.29	10.09	9.61	6.8	2.51	20.3	22.94	17.41	27.63	18.04	32.87
ENSG00000109534.15	17.19	7.03	12.86	8.77	8.64	22.98	41.53	41.93	29.66	23.81	27.31
ENSG00000056097.14	28.63	19.92	28.78	34.16	32.95	51.43	48.56	41.52	36.14	55.14	47.26
ENSG00000111679.15	23.24	20.61	16.51	18.15	20.8	0.14	16.8	0.43	0.29	4.9	0.25
ENSG00000164610.7	11.78	6.99	11.66	8.12	11.99	27.93	19.64	18.48	19.23	15.04	21.03
ENSG00000141738.12	7.96	14.9	19.02	14.02	13.18	0.14	1.19	0.19	0.14	3.43	0
ENSG00000109332.18	232.54	215.86	263.03	281.78	252.63	121.85	203.12	149.85	109.16	196.82	160.91
ENSG00000198034.9	1360.18	1404.35	1230.78	1413.94	1221.99	928.06	570.84	721.7	474.96	1079.28	440.71
ENSG00000105372.5	2528.2	3525.06	2837.09	3685.36	4029.21	1685.25	897.22	1324.22	1911.07	2282.08	1443.52
ENSG00000100949.13	45.93	91.35	82.99	83.16	65.51	12.41	16.32	11.88	22.11	33.9	16.2
ENSG00000109854.12	34.93	50.92	61.95	43.87	47.04	8.15	17.85	38.36	4.11	18.6	16.72
ENSG00000152291.12	20.67	15.15	19.54	31.91	30.88	42.11	91.06	49.48	65.5	69.67	77.33
ENSG00000161677.10	86.41	93.52	68.48	98.27	80.4	30.99	7.18	10.45	61.13	20.6	57.86
ENSG00000100226.14	16.65	16.58	14.38	9.36	11.39	17.37	34.11	26.02	33.2	27.07	27.27
ENSG00000175707.8	19.6	20.09	17.89	9.6	13.45	0	0.13	0.03	0.04	0.2	0.06
ENSG00000040275.15	26.97	8.74	16.02	18.57	18.86	51.93	47.83	95.47	49.16	74.08	86.42
ENSG00000135452.8	20.59	24.04	21.66	23.64	13.38	7.71	7.81	9.51	6.17	5.37	10.06
ENSG00000114993.14	48.17	79.36	58.66	38.66	56.6	6.3	4.12	20.85	8.82	9.02	13.33
ENSG00000127603.22	22.78	15.8	18.67	35.07	21.75	47.34	59.76	82.43	65.83	41.69	47.61
ENSG00000152939.13	10.88	14.55	7.75	7.48	11.77	0.85	0.89	0.9	0.26	1.01	2.94
ENSG00000123106.9	7.71	6.93	5.24	7.15	3.47	9.79	15.38	12.18	10.89	12.98	18.42
ENSG00000117602.10	10.47	8.17	7.04	8.55	6.03	1.59	2.84	2.17	2.93	6.71	3.43
ENSG00000188910.7	97.99	78.24	111.81	107.57	165.23	0.06	0.08	0.09	0	0	0.22
ENSG00000075702.15	8.22	2.02	10.58	5.05	13.57	16.85	28.78	29.37	45.07	31.4	23.25
ENSG00000094880.9	16.71	12.41	19.37	11.9	12.3	24.33	18.54	29.05	21.16	25.71	26.17
ENSG00000237649.6	24.18	20.92	29.04	16.34	58.13	62.44	61.54	69.97	73.55	95.54	76.66
ENSG00000107960.9	46.64	46.22	39.9	22.89	35.96	6.45	8.15	6.77	8.7	12.21	15.79
ENSG00000162244.9	1942	2391.27	1820.39	2089.41	1986.93	1372.91	1317.14	555.35	1173.39	1650.15	1326.1
ENSG00000133112.15	2121.13	2290.81	3028.06	2188.69	1864.6	898.15	1917.56	867.04	498.2	1326.83	604.82
ENSG00000158747.12	78.03	91.69	124.92	59.59	85.81	33.83	3.54	24.11	58.15	28.69	4.36
ENSG00000154518.8	424.9	354.87	419.73	315.97	439.87	212.44	303.61	255.81	119.05	288.62	214.45
ENSG00000138771.13	9.86	8.36	6.63	8.94	4.29	0.47	2.12	2.7	1.66	4.49	0.32
ENSG00000140950.14	54.67	36.82	29.6	43.12	36.99	10.52	13.6	11.03	17.56	22.22	14.1
ENSG00000175793.11	680.88	1128.33	568.51	792.22	1166.98	0.41	50.46	0.58	113.91	100.47	1.76
ENSG00000091622.14	10.38	15.56	8.38	13.74	7.73	0.37	1.66	0.51	1.1	3.33	1.11
ENSG00000231131.5	10.88	8.71	8.08	5.62	5.01	0	0	0	0.15	0	0
ENSG00000181284.2	12.84	17.2	12.55	13.32	24.12	5.39	2.04	0.46	2.12	0.49	2.62
ENSG00000100151.14	26.15	27.32	31.69	15.87	23.74	10.82	7.06	4.28	8.78	19.55	9.97
ENSG00000096746.16	125.09	61.22	104.47	99.42	59.81	220.29	203.56	258.09	146.2	162.27	143.07
ENSG00000182973.17	11.95	5.86	10.13	7.63	7.73	19.28	21.25	21.05	16.34	14.37	11.15
ENSG00000143537.12	139.44	198.33	285.32	218.49	263.57	84.22	46.13	52.27	58.57	148.77	73.58
ENSG00000163362.9	16.12	35.92	21.41	24.61	27.16	1.93	5.2	4.36	3.79	2.15	1.41
ENSG00000054148.16	197.08	215.17	132.7	158.32	179.49	97.56	41.45	46.97	113.1	130.56	102.51
ENSG00000189067.11	103.21	159.32	100.48	75.65	126.4	18.67	82.96	37.62	27.43	28.3	10.04
ENSG00000060558.3	45.04	38.8	60.2	55.58	91.35	0	0.1	0.05	0.09	21.52	0.1
ENSG00000166848.5	16.91	14.25	16.27	13	9.16	22.58	24.12	25.38	16.91	30.69	22.47
ENSG00000153187.15	106.27	73.63	142.29	78.02	115.07	161.31	225.49	272.4	151.4	177.64	216.06
ENSG00000001461.15	43.61	53.86	40.24	39.42	42.74	1.62	9.08	3.33	36.66	26.13	13.93
ENSG00000010017.12	4.46	11.94	13.76	18.98	3.95	31.76	27.36	32.88	17.25	28.91	22.54
ENSG00000122882.9	17.51	11.75	14.94	10.77	11.89	25.66	16.12	26.64	19.08	28.01	23.31
ENSG00000167644.10	593.24	357.51	367.97	489.54	825.41	0	0.23	0	1.23	286.14	0.4
ENSG00000160446.17	165.89	147.83	95.64	111.45	138.94	61.03	17.98	21.92	75.85	106.95	39.88
ENSG00000011275.17	9.93	6.09	13.62	12.93	13.84	26.15	20.43	20.37	23.88	16.91	33.9
ENSG00000105963.12	27.8	10.85	20.15	16.51	22.93	2	1.68	0.06	0.4	5.99	4.02
ENSG00000150782.10	116.8	90.23	172.3	75.96	92.46	0.11	0.18	0.4	0	31.1	3.41
ENSG00000163191.5	2077.98	1623.54	2123.77	2713.5	3490.59	1195.88	236.87	308.97	255.3	767.59	1067.01
ENSG00000076944.13	82.37	64.08	71.81	92.84	104.54	4.01	31.71	39.4	2.01	73.04	14.46
ENSG00000099812.7	32.23	16.8	19.64	29.13	42.01	0	0	0.07	1.03	12.07	0.22
ENSG00000164695.4	11.65	17.63	11.13	6.2	11.6	0	0.08	3.88	0.07	4.14	0.35
ENSG00000102554.12	70.8	108.1	134.16	117.81	59.07	3.96	10.85	1.75	3.37	15.11	2.13
ENSG00000109099.12	3.82	15.28	2.62	14.16	4.14	55.73	35.42	16.37	50.51	68.47	45.29
ENSG00000143198.11	126.54	150.13	134.51	101.94	187.03	47.54	117.07	50.61	43.56	65.93	54.58
ENSG00000143924.17	12.79	4.97	8.84	7.53	4.87	16.23	15.88	18.64	13.89	18.33	11.27
ENSG00000110400.9	91.5	78.81	80.26	36.06	93.74	6.53	18.59	6.64	11.79	13.05	6.12
ENSG00000012660.12	29.42	43.43	37.81	36.49	48.76	71.88	69.51	72.08	53.88	47.94	85.33
ENSG00000170873.17	26.76	34.61	16.39	19.49	18.66	0.55	5.12	1.95	3.8	0.52	3.72
ENSG00000113368.10	51.73	14.61	51.53	14.13	41.78	92.2	115.5	87.2	78.68	82.55	49.89
ENSG00000130695.12	12.74	7.02	11.91	7.6	13.76	22.58	32.23	21.64	15.38	20.02	19.91
ENSG00000112941.11	16.64	14.5	19.02	13.49	17.58	23.5	28.84	29.73	23.09	21.86	19.48
ENSG00000148344.10	523.22	242.98	377.69	526.74	276.77	0.2	1.95	5.95	9.58	4.71	0.37
ENSG00000070159.12	14.44	8.95	9.58	9.76	9.13	7.18	3.25	6.05	1.48	6.72	3.4
ENSG00000103067.10	29.02	45.95	52.42	20.85	37.54	0.21	0.42	1.45	0.38	0.43	0.42
ENSG00000103245.12	38.76	27.71	22.94	27.5	26.3	18.22	6.53	14.4	20.92	14.85	11.45
ENSG00000157107.12	8.31	11.14	8.58	11.5	10.59	4.79	2.65	1.23	3.88	9.6	3.48
ENSG00000187446.10	61.34	77.96	46.54	60.95	48.88	28.29	35.45	25.87	14.39	32	41.95
ENSG00000184840.10	191.8	191.42	167.53	196.82	167.73	289.17	233.45	206.11	245.49	220.55	243.02
ENSG00000197565.14	20.64	16.82	25.7	9.81	14.85	0.96	0.06	1.46	0.76	0.06	0.23
ENSG00000014216.14	314.86	356.02	219.4	222.63	181.23	56.42	79.51	40.34	50.32	62.88	50.16
ENSG00000161249.19	278.74	337.77	209.72	128.35	335.3	0	9.2	6.87	1.17	35.65	1.02
ENSG00000115884.9	287.43	408.51	172.9	296.81	427.21	44.55	24.43	23.26	57.29	100.13	25.58
ENSG00000159166.12	150.32	154.88	151.18	62.43	201.09	0.87	0	0.49	0.21	0	0.41
ENSG00000165282.12	20.58	17.91	21.12	20.43	22.03	12.36	10.12	8.91	15.66	18.97	12.09
ENSG00000084207.14	2107.5	2638.75	2707.96	1081.51	2133.06	514.42	778.03	450.29	265.72	154.71	601.86
ENSG00000157600.10	24.42	15.84	20.44	29.42	25.62	19.1	13.22	10.15	4.64	9.11	5.07
ENSG00000006757.10	53.13	28.95	26.57	28.06	36.87	7.7	14.03	5.25	6.31	14.73	0
ENSG00000061938.15	51.39	55.86	28.07	46.59	31.77	12.26	6.22	9.89	25.88	7.8	23.01
ENSG00000105193.7	3105.91	2962.04	3147.69	3492.02	4180.26	2008.06	1367.05	1521.73	2802.34	2637.62	2224.61
ENSG00000229119.3	1052.36	1387.74	2117.13	2520.44	1773.54	39.09	0	0	79.7	1614.39	0
ENSG00000145833.14	34.56	24.14	39.08	24.1	27.64	57.8	56.4	73.12	61.1	67.36	31.83
ENSG00000173065.12	17.22	17.07	16.52	21.97	24.35	7.9	4.41	14.34	8.44	11.77	15
ENSG00000221869.4	15.04	30.45	30.35	20.87	40.07	6.25	1.13	1.4	1.48	1.21	11.89
ENSG00000227036.5	34.91	33.86	24.05	46.41	21.14	0.22	17.13	17.58	1.99	14.21	1.89
ENSG00000205155.6	128.77	116.11	124	154.65	119.18	75.8	48.39	95.83	72.62	104.96	103.79
ENSG00000069020.17	7.76	16.78	10.96	13.52	20.3	1.64	0.68	0.23	0.14	0.54	3.49
ENSG00000125731.11	52.33	25.73	70.75	39.82	64.49	0.32	1.37	2.08	0.67	11.85	0.44
ENSG00000197043.12	2.28	2.91	2.86	2.82	32.37	74.61	18.47	58.69	116.38	91.54	78.56
ENSG00000095383.18	52.34	26.07	41.08	45.24	65.79	12.91	3.03	7.71	9.17	9.16	21.04
ENSG00000135679.20	42.62	34.83	44.61	38.83	21.19	13.97	9.12	28.53	7.8	19.24	10.71
ENSG00000119986.6	51.02	133.71	121.7	102.82	77.31	5.78	8.03	1.92	1.78	10.55	9.95
ENSG00000138668.17	183.62	86.97	146.25	103.33	171.92	221.17	230.97	301.81	304.64	264.25	441.91
ENSG00000135525.17	5.13	10.15	8.25	4.22	9.66	0.22	0.02	0.3	0.07	0	0.83
ENSG00000164587.10	1663.05	2744.13	2128.18	2247.31	2488.97	1380.27	1353.09	858.15	1364.19	1377.73	1570.79
ENSG00000010278.10	335.77	339.93	143.84	203.7	348.42	6.61	14.58	28.65	17.78	186.44	101.54
ENSG00000162599.14	17.15	18.76	12.68	6.99	18.97	0.01	0.11	0.04	3.31	6.64	9.45
ENSG00000115112.7	34.87	44.13	20.47	43.78	20.16	0.01	2.81	0.18	0.14	0.47	0.04
ENSG00000035115.20	28.29	38.43	33.27	14.66	40.57	8.04	4.37	4.74	2.18	1.46	8.82
ENSG00000196656.7	1357.94	1030.25	1069.42	1638.95	860.48	571.16	240.04	252.99	485.19	932.86	448.89
ENSG00000112559.12	49.43	35.67	56.25	41.56	86.48	0	13.05	0.59	0.51	9.63	0
ENSG00000162302.11	136.58	101.94	86.12	108.25	115.59	56.49	62.93	39.23	94.95	76.56	61.66
ENSG00000105755.6	126.74	273.35	141.26	174.99	206.98	128.09	13.34	14.99	35.06	45.21	82.03
ENSG00000073712.12	5.1	4.25	8.5	29.17	4.81	68.02	56.42	75.62	45.98	37.38	18.31
ENSG00000136002.15	14.9	45.31	35.53	29.84	24.65	0.06	0.69	8.66	0.16	0.97	0.54
ENSG00000271447.4	98.83	105.16	41.09	52.1	76.03	0	3.9	0.1	0.07	0	0
ENSG00000114541.13	16.79	12.42	16.31	5.57	10.92	0.04	1.54	0.26	0.46	1.03	0
ENSG00000072803.16	14.84	18.69	22.27	13.18	13.32	27.85	29.83	28.29	24.64	36.58	19.24
ENSG00000178921.12	19.82	6.66	23.53	16.02	16.68	65.25	25.94	34.62	53.44	39.05	39.83
ENSG00000173898.10	7.55	15.22	14.53	19.55	21.54	3.79	3.12	4.1	0.82	8.55	0.43
ENSG00000155252.13	28.46	29.31	14.12	20.52	22.95	13.02	8.61	5.88	5.05	15.99	7.19
ENSG00000119537.14	57.11	54.98	66.6	55.33	50.63	24.74	15.39	44.84	37.26	37.05	46.69
ENSG00000142273.9	30.45	25.98	24.32	14.56	43.74	0	0	0.11	0	0.06	0
ENSG00000162390.16	18.04	8.71	13.75	7.25	11.03	0.48	0.82	0.89	0.46	0.47	0.47
ENSG00000137770.12	16.59	7.92	11.76	5.29	9.27	28.67	26.34	26.33	11.97	18.27	30.8
ENSG00000131381.11	7.52	5.62	7.21	5.28	4.99	9.4	11.93	13.67	9.63	7.24	9.86
ENSG00000105514.6	20.51	59.12	44.3	44.26	33.41	5.15	6.03	8.54	2.25	4.09	23.51
ENSG00000166908.16	40.65	37.34	28.78	57	40.41	15.65	16.1	21.24	14.27	19.59	12.1
ENSG00000158716.7	50.8	116.41	125.62	95.23	108.97	12.54	32.31	30.99	13.83	66	55.01
ENSG00000170348.7	250.68	224.04	185.71	239.7	273.5	115.93	192.76	203.49	111.58	107.2	160.06
ENSG00000118579.10	27.89	24.99	29.34	25.61	27.8	19.74	9.44	14.86	10.05	24.99	16.66
ENSG00000104332.10	34.66	55.66	57.34	28.91	42.84	45.89	1.88	1.27	0.83	0.02	0.03
ENSG00000198589.9	13.16	13.74	16.11	10.66	13.08	2.85	6.7	11.54	5.21	10.4	3.66
ENSG00000079739.14	69.77	50.49	64.29	59.3	69.76	43.15	44.65	11.08	24.37	42.89	47.45
ENSG00000102974.13	14.62	7.87	15.5	11.93	13.25	23.74	33.33	25.1	17.42	34.27	19.41
ENSG00000113645.12	18.93	21.3	13.22	25.04	29.71	11.8	2.37	8.74	11.02	10.49	4.01
ENSG00000110328.5	17.01	13.55	21.47	10.97	26.05	1.45	3.78	2.26	2.97	7.2	3.65
ENSG00000099337.4	9.91	6.8	2.83	9.18	9.13	0.69	0.58	0.45	2.89	0.34	0.03
ENSG00000139116.16	9.48	9.01	13.14	13.32	6.5	0.02	3.04	5.23	1.61	8.77	1.96
ENSG00000167770.10	156.94	202.31	160.52	123.67	132.95	105	77.13	74.84	85.05	93.26	75.38
ENSG00000123179.12	58.56	63.23	95.88	67.96	73.15	60.56	43.64	46.68	18.93	29.63	16.55
ENSG00000177494.5	21.93	11.48	34.18	22.27	35	0	0.09	0	0.11	0.1	0
ENSG00000147813.14	100.15	94.45	101.36	101.16	57.38	35.75	29.36	6.13	43.92	26.93	87.77
ENSG00000138271.5	51.86	50.23	42.18	19.92	24.25	0	0.05	0.11	0.04	0.52	0
ENSG00000169057.18	11.63	5.84	8.96	7.9	8.09	27.14	19.48	20.48	11.16	14.37	24.07
ENSG00000137154.11	1479.63	1528.12	1459.25	1722.46	1626.42	1205.07	1232.37	544.82	885.92	993.35	277.68
ENSG00000079819.15	10.38	6.88	8.06	13.28	7.29	18.9	58.93	53.9	42.89	37.83	24.62
ENSG00000116514.15	26.2	22.66	20.77	35.72	26.28	10.12	13.86	11.31	9.15	11.06	24.35
ENSG00000105855.8	6.27	9	8.45	9.16	2.78	0.05	0.89	0.38	0.77	0.06	0.45
ENSG00000188015.8	39.16	39.32	56.96	21.28	41.79	3.58	6.49	23.12	24.95	12.62	3.34
ENSG00000156453.12	35.94	44.37	13.36	53.69	40.79	0.78	1.1	0.45	0.47	0.67	12.27
ENSG00000113575.8	93	73.99	105.11	59.01	94.69	169.71	104.31	146.7	118.56	132.22	188.21
ENSG00000104812.13	50.28	37.86	56.18	66.94	58.49	31.52	7.27	38.78	40.87	23.11	28.56
ENSG00000102007.9	387.82	439.59	495.98	393.8	339.83	388.61	143.69	129.23	109.85	304.28	160.43
ENSG00000178078.10	37.23	65.33	32.72	47.28	25.84	0.69	4.83	9.06	3.47	24.97	9.22
ENSG00000148426.11	49.86	22.08	22.97	26.33	28.83	2.36	0.26	1.07	3.93	8.37	2.53
ENSG00000197747.7	1032.29	1079.38	880.48	1011.86	407.85	463.85	410.43	238.38	187.26	407.18	50.42
ENSG00000038358.13	46.2	22.49	30.02	28.97	23.87	58.5	41.6	57.28	45.73	57.76	83.13
ENSG00000119718.9	45.08	18.4	30.63	42.52	23.52	44.43	67.49	67.97	47.18	52.57	65.74
ENSG00000010256.9	367.2	449.71	415.8	352.35	404.82	214.23	411.74	256.26	237.31	247.23	236.31
ENSG00000156983.14	10.57	8.11	8.93	10.26	10.08	21.77	12.99	27.71	17.31	19.45	15.94
ENSG00000233276.3	845.83	476.75	624.22	870.47	487.41	243.23	172.5	147.63	287.69	401.69	241.52
ENSG00000065361.13	4.02	11.43	6.81	7.5	5.91	0.18	0.69	0.38	1.07	2.31	0.28
ENSG00000180921.6	70.46	80.3	93.98	75.07	163.19	2.9	6.23	3.64	0.34	1.22	24.09
ENSG00000189171.12	196.84	129.27	294.94	227.2	279.6	104.73	30.86	98.57	100.29	117.94	42.63
ENSG00000130545.14	19.1	34.71	15.75	13.11	21.71	0	0	0.09	0.13	1.12	0.23
ENSG00000036549.11	12.47	10.87	10.26	11.77	9.45	22.48	14.17	23.02	13.32	24.26	22.88
ENSG00000096060.13	63.94	170.56	124.73	74.62	116.48	0	32.18	10.64	1.87	16.75	6.65
ENSG00000197956.8	3164.31	1605.36	2330.35	3166.7	3597.65	332.88	1228.84	1221.61	1037.96	1400.77	1048.9
ENSG00000189334.7	693.32	950.08	565.24	292.25	985.39	0	1.07	0.52	0.56	0	0.12
ENSG00000065618.15	351.31	545.6	207.94	219.26	332.95	0.05	0.37	0	1.72	1.88	0.12
ENSG00000223784.1	10.88	8.95	12.74	10.12	21.83	0	0.54	0	1.67	2.36	0
ENSG00000119280.15	6.8	7.27	6.37	5.08	8.03	11.9	13.43	15.28	23.61	18.92	10.61
ENSG00000169919.15	33.15	37.59	45.75	39.11	36.87	63	47.06	50.56	63.4	85.26	70.59
ENSG00000237289.8	119.89	87.97	93.54	34.88	137.49	1.2	0.24	0.32	0	0.29	0.42
ENSG00000125821.10	85.18	60.86	90.01	62.76	71.14	61.74	26.39	44.63	32.59	58.02	43.28
ENSG00000183431.10	47.1	22.43	39.01	36.66	30.51	82.57	65.83	109.69	54.34	62.8	57.26
ENSG00000100296.12	27.19	16.06	28.12	26.86	32.76	40.28	62.4	41.29	73.82	46.33	41.26
ENSG00000128524.4	226.31	271.26	214.91	238.69	355.22	174.52	137.57	98.81	119.06	149.57	171.98
ENSG00000116016.12	102.58	95.48	119.35	48.56	81.55	17.73	70.29	53.65	28.72	12.38	10.7
ENSG00000136811.15	33.68	14.18	24.03	11.15	33.56	51.93	49.98	66.05	25.66	46	62.77
ENSG00000113719.14	116.19	135.84	152.05	146.24	149	87.65	115.37	60.92	130.26	78.09	97.34
ENSG00000121774.16	58.92	40.83	61.06	55.8	77.59	86.19	81.12	87.78	84.07	81.1	123.27
ENSG00000108312.13	43.49	38.77	35.31	36.09	51.57	46.9	57.49	78.55	70.55	61.31	87.71
ENSG00000086544.2	13.4	40.15	29.99	28.64	24.99	6.64	4	5.37	4.98	2.77	10.39
ENSG00000152056.15	23	12.21	16.61	10.95	17.12	3.07	11.41	7.82	4.18	7.25	3.25
ENSG00000100003.16	91.43	146.56	80.63	201.23	133.28	15.69	22.98	18.57	20.82	23.81	6.35
ENSG00000057294.12	22.45	10.26	20.79	17.79	24.58	0	0.78	0.16	0.06	21.14	0.28
ENSG00000215845.9	77.35	60.58	25.21	74.8	43.44	41.97	12.08	12.06	0.14	0	0.26
ENSG00000126460.9	5.43	11.22	6.37	6.01	4.43	0.39	0.49	0.21	0.81	0.67	0.49
ENSG00000132470.12	892.46	541.32	708.8	235.69	895.6	0.32	2.27	3.26	0.79	9.85	0.62
ENSG00000065457.9	29.54	21.7	25.01	21.06	16.21	39.15	38.75	38.87	31.1	56.02	30.04
ENSG00000080815.17	23.59	28.94	29.66	35.89	35.29	14.71	14.13	19.58	17.51	20.4	29.42
ENSG00000242259.7	13.67	15.21	11.14	10.04	9.34	12.56	17.91	19.47	22.83	17.51	23.3
